latitude,longitude
48.1815568,11.5845746
48.0642917,11.6629469
48.0657455,11.6608571
48.0992554,11.5198437
48.2245948,11.6686808
48.2252155,11.6711978
48.2265436,11.6711835
48.0907059,11.5562737
48.1282873,11.3755046
48.0669554,11.3798203
48.0721732,11.373854
48.06192,11.6738617
48.1548502,11.5668069
48.1380825,11.5612128
48.1399858,11.5623796
48.151004,11.4353554
48.1816351,11.4759366
48.1484052,11.4418755
48.1486769,11.4346316
48.1717455,11.7184691
48.1487302,11.4602226
48.1144826,11.5929323
48.1819549,11.5732837
48.1545242,11.4701234
48.1513334,11.4202536
48.0759492,11.6628658
48.1610736,11.5689431
48.1614749,11.5678545
48.1425629,11.6160212
48.1650244,11.6443864
48.1146482,11.5709276
48.1373568,11.5762875
48.1313319,11.5763334
48.1336021,11.5764395
48.06345,11.679383
48.2048216,11.5720061
48.2121908,11.563701
48.2124296,11.5560008
48.2077322,11.5525948
48.2039901,11.5530994
48.1267604,11.5913744
48.1287183,11.592958
48.1083066,11.6033663
48.1096657,11.603541
48.201827,11.6066047
48.1358367,11.5977142
48.1289741,11.603715
48.128516,11.5993523
48.1295037,11.602067
48.1339035,11.5445475
48.1319428,11.5983983
48.1844204,11.5667511
48.1299007,11.4308047
48.1442767,11.4609754
48.1461437,11.4593421
48.113102,11.7008549
48.1138555,11.700091
48.1074382,11.6565689
48.1483854,11.4613038
48.138514,11.445079
48.1207433,11.4419522
48.1219589,11.6696636
48.124826,11.6552939
48.1169152,11.6567215
48.0813244,11.6718965
48.0769547,11.7155852
48.1671569,11.5780267
48.0999488,11.6312523
48.1371996,11.5228406
48.1461933,11.6406721
48.1255756,11.6352203
48.1415739,11.5865087
48.1395568,11.5884171
48.1406104,11.5889163
48.144649,11.5935567
48.1626072,11.5745584
48.1467157,11.6403849
48.1636359,11.5291893
48.1335039,11.5828647
48.1346016,11.575592200000001
48.1290882,11.6307853
48.1279716,11.6310371
48.1342073,11.584922
48.0881935,11.6402615
48.1142,11.5990511
48.10948,11.5758386
48.1985741,11.544842
48.1964923,11.5283383
48.1983738,11.5348791
48.0940511,11.6419605
48.1193463,11.5834179
48.1345818,11.5788694
48.1339916,11.5834122
48.2150182,11.5308501
