latitude,longitude
48.06411,11.6133778
48.1649131,11.4679767
48.1396387,11.5629724
48.1606315,11.5729507
48.1601657,11.5760533
48.108495,11.4778376
48.1665021,11.5645483
48.163279,11.5638789
48.1708729,11.564161
48.1646372,11.4644072
48.099992,11.5277295
48.1378244,11.5562375
48.1245091,11.5413504
48.1184703,11.5403048
48.127983,11.6211072
48.1506497,11.4625451
48.1591015,11.5663522
48.1108774,11.6177462
48.1203598,11.6240139
48.1130468,11.5859778
48.134662,11.3765324
48.1345129,11.597465
48.1432811,11.5748358
48.1865861,11.5729916
48.1337594,11.534393
48.1074833,11.7228269
48.1429092,11.5773469
48.1914811,11.6444702
48.1943111,11.5977
48.120223,11.5738362
48.1611886,11.5403498
48.1485021,11.6177073
48.2452197,11.4417659
48.1924562,11.3716887
48.1432334,11.4969923
48.0721169,11.6056007
48.1597998,11.5433611
48.1529446,11.5319476
48.1349573,11.5033778
48.1415242,11.5777992
48.2465388,11.6491072
48.2259533,11.467392
48.1398637,11.5667107
48.1326174,11.5653205
48.1180918,11.5164465
48.1299419,11.4881884
48.1119018,11.5031098
48.1136528,11.4788299
48.1132157,11.5108926
48.1148954,11.5220135
48.1468875,11.4131355
48.1579708,11.5442197
48.155817,11.510901
48.1364668,11.5574673
48.1367332,11.558385
48.1344709,11.5687768
48.1930026,11.6147544
48.1392182,11.5620691
48.1114008,11.5259312
48.1609114,11.5239809
48.0988799,11.5234846
48.1700893,11.5344443
48.080949,11.5279936
48.1799224,11.5130156
48.1820642,11.5196719
48.1892088,11.4626977
48.1944735,11.6420934
48.1946656,11.3728461
48.1174459,11.5397601
48.1172713,11.5403956
48.116733,11.502758
48.1199231,11.4918924
48.1566063,11.5304443
48.1558391,11.5126155
48.1623879,11.5871518
48.1620154,11.4135747
48.1838341,11.5790288
48.2023583,11.5863458
48.1807679,11.4864369
48.1272653,11.5031056
48.1334574,11.499441
48.1393558,11.5120857
48.1520093,11.5327964
48.157542,11.5808705
48.1515364,11.5769797
48.1285994,11.5567878
48.1815072,11.4972965
48.1804725,11.5070989
48.1399024,11.5327233
48.1168672,11.5815316
48.1422973,11.5505758
48.1255134,11.5499525
48.2293428,11.6726467
48.163006,11.543482
48.1357516,11.5400994
48.1400374,11.4959384
48.1836615,11.5251916
48.1761704,11.5843167
48.1862764,11.5765664
48.1181153,11.4894386
48.1780296,11.5215561
48.1283677,11.5955726
48.0919492,11.4676081
48.2069952,11.563982
48.1097595,11.7179003
48.1400306,11.5070156
48.1011728,11.6442081
48.1555209,11.5658877
48.1539949,11.5841915
48.1778384,11.6366948
48.1989991,11.5861303
48.1496886,11.6018382
48.192168,11.5876091
48.1367714,11.5026719
48.1384289,11.50338
48.1400338,11.5028644
48.112332,11.7038989
48.1512949,11.5640104
48.1491176,11.5631402
48.152794,11.565504
48.1263572,11.6443376
48.1496075,11.54635
48.1451874,11.4721814
48.1477547,11.4612156
48.0774384,11.5199689
48.1887659,11.3783499
48.1965357,11.3734894
48.0881104,11.4793102
48.0875103,11.4782481
48.1258345,11.4766858
48.1192996,11.4836483
48.1460464,11.5028522
48.1164917,11.5333322
48.0953146,11.4975708
48.094271,11.4986158
48.0822095,11.5042477
48.082861,11.4849063
48.087357,11.4846311
48.0888675,11.5200144
48.131661,11.690633
48.1812306,11.5087072
48.0805632,11.5166925
48.0992594,11.6533197
48.0641855,11.6255147
48.104046,11.4167516
48.1082346,11.4522289
48.1370631,11.5981225
48.129011,11.5585809
48.1523656,11.5355781
48.1492574,11.4600208
48.1920962,11.4594841
48.13387,11.5654089
48.1502807,11.4135097
48.119419,11.5439575
48.1364297,11.6134691
48.1072003,11.645043
48.1609363,11.4445552
48.0921535,11.4031284
48.1499837,11.5443593
48.1355458,11.5717782
48.1651489,11.5115377
48.0853291,11.4948062
48.1246345,11.6643464
48.1836479,11.5631605
48.0716728,11.6168766
48.1418398,11.5610934
48.1880475,11.4609354
48.0776771,11.5256709
48.1265697,11.5828535
48.1307043,11.5703982
48.1123029,11.5484055
48.1496525,11.455563
48.0925937,11.5308112
48.1038552,11.4188377
48.1833365,11.5345097
48.1530212,11.5260818
48.1148493,11.4786665
48.1397393,11.4103257
48.2246517,11.6732023
48.1410984,11.488711
48.1644913,11.4767022
48.1437963,11.4235988
48.1580888,11.6415204
48.135861,11.5201752
48.2142647,11.5573349
48.0752178,11.6726808
48.1377989,11.3740448
48.1311678,11.5025159
48.1575318,11.4157407
48.0623346,11.6774142
48.1103392,11.5953762
48.1305232,11.364648
48.0870511,11.4051664
48.1791024,11.506148
48.1010471,11.6292798
48.1383585,11.5805711
48.104528,11.4176232
48.1212095,11.5345146
48.226784,11.4634212
48.136919,11.5712742
48.1962036,11.5839042
48.0954144,11.4956844
48.1123885,11.575942
48.1440601,11.6015986
48.1195864,11.5727836
48.1370581,11.5476974
48.1251681,11.579659
48.1114535,11.5689096
48.1394309,11.6187319
48.1213092,11.5607144
48.129096,11.5594478
48.1477131,11.4641301
48.12723359913703,11.614196099967728
48.12840852785361,11.509063084743811
48.16462165,11.475297300000001
48.09797213153904,11.412773150504913
48.176576930741426,11.406951942039989
48.093778835554,11.568858925831503
48.070317450000005,11.378000699999998
48.10433700730759,11.416926332424719
48.13489402242809,11.50960984534641
48.13878999844559,11.565562882007532
48.13950050170204,11.560262820641306
48.127694842935185,11.604192811435542
48.14772513236568,11.464120775531935
48.13057990861356,11.59050687641798
48.16190121145738,11.586342761331272
48.13725773154175,11.574960212310705
