latitude,longitude,cluster,count,name,addr.street
48.1591015,11.5663522,2,27,Hildegard-apotheke,Elisabethstraße
48.1345129,11.597465,3,61,Max-weber-platz-apotheke,Innere Wiener Straße
48.1432811,11.5748358,3,61,Brienner Apotheke,NA
48.1337594,11.534393,6,7,Heimeran-apotheke,Heimeranplatz
48.1429092,11.5773469,3,61,Apotheke Am Odeonsplatz,Odeonsplatz
48.1611886,11.5403498,10,5,Heideck-apotheke,NA
48.1597998,11.5433611,10,5,Dom-pedro-apotheke,Dom-Pedro-Straße
48.1529446,11.5319476,7,11,Kranich-apotheke,Wendl-Dietrich-Straße
48.1349573,11.5033778,11,9,Hahnen Apotheke,Fürstenrieder Straße
48.1415242,11.5777992,3,61,Hofapotheke In Der Residenz,NA
48.1398637,11.5667107,3,61,Stachus-apotheke,NA
48.1326174,11.5653205,3,61,Doc Morris,Lindwurmstraße
48.1579708,11.5442197,10,5,Tobias-apotheke,NA
48.1364668,11.5574673,3,61,Rihani Apotheke,Landwehrstraße
48.1367332,11.558385,3,61,Goethe Apotheke,Goethestraße
48.1344709,11.5687768,3,61,Asam-apotheke,Sendlinger Straße
48.1392182,11.5620691,3,61,Ahorn-apotheke,NA
48.1174459,11.5397601,12,6,Harras Apotheke,Am Harras
48.1172713,11.5403956,12,6,St. Vitus Apotheke,Plinganserstraße
48.1566063,11.5304443,7,11,Lachner Apotheke,Nymphenburger Straße
48.1623879,11.5871518,2,27,St. Ursula Apotheke,Münchner Freiheit
48.1334574,11.499441,11,9,Maximilian Apotheke,NA
48.1393558,11.5120857,11,9,Agnes Bernauer Apotheke,NA
48.1520093,11.5327964,7,11,Rotkreuzplatz-apotheke,Donnersbergerstraße
48.157542,11.5808705,2,27,Franz-joseph-apotheke,NA
48.1515364,11.5769797,13,4,Adalbert-apotheke,Türkenstraße
48.1285994,11.5567878,5,5,Wittelsbacher Apotheke,Lindwurmstraße
48.1399024,11.5327233,6,7,Apotheke Am Hauptzollamt,Landsberger Straße
48.1168672,11.5815316,9,9,Tela-apotheke,Tegernseer Landstraße
48.2293428,11.6726467,1,5,Schloß Apotheke,Schloßstraße
48.163006,11.543482,10,5,Helios-apotheke,NA
48.1357516,11.5400994,6,7,Ganghofer-apotheke,Gollierstraße
