name,id,nametype,type,class,group,mass (g),fall,year,reclat,reclong,GeoLocation
Lewis Cliff 86503,13433,Valid,Stony,Ordinary,H5,22.5,Found,1986-01-01,-84.26583,161.40174,"(-84.265830, 161.401740)"
Lewis Cliff 85303,12776,Valid,Stony,Achondrites,Eucrite-pmict,408,Found,1985-01-01,-84.26606,161.37782,"(-84.266060, 161.377820)"
Lewis Cliff 85327,12797,Valid,Stony,Ordinary,H5,439.4,Found,1985-01-01,-84.26611,161.31667,"(-84.266110, 161.316670)"
Lewis Cliff 88318,14069,Valid,Stony,Ordinary,H6,23.2,Found,1988-01-01,-84.26618,161.41493,"(-84.266180, 161.414930)"
Lewis Cliff 86494,13424,Valid,Stony,Ordinary,H6,13.7,Found,1986-01-01,-84.26626,161.39601,"(-84.266260, 161.396010)"
Lewis Cliff 85351,12821,Valid,Stony,Ordinary,H4,12.1,Found,1985-01-01,-84.2664,161.39514,"(-84.266400, 161.395140)"
Lewis Cliff 86204,13142,Valid,Stony,Ordinary,H6,22.5,Found,1986-01-01,-84.26644,161.36411,"(-84.266440, 161.364110)"
Lewis Cliff 88662,14399,Valid,Stony,Ordinary,H6,12.9,Found,1988-01-01,-84.26649,161.41164,"(-84.266490, 161.411640)"
Lewis Cliff 88672,14409,Valid,Stony,Ordinary,L6,11.5,Found,1988-01-01,-84.26652,161.35724,"(-84.266520, 161.357240)"
Lewis Cliff 86502,13432,Valid,Stony,Ordinary,L5,25.3,Found,1986-01-01,-84.26657,161.39826,"(-84.266570, 161.398260)"
Lewis Cliff 99200,14641,Valid,Stony,Ordinary,L6,8.8,Found,1999-01-01,-84.26667,161.5,"(-84.266670, 161.500000)"
Lewis Cliff 99201,14642,Valid,Stony,Ordinary,L6,30.2,Found,1999-01-01,-84.26667,161.5,"(-84.266670, 161.500000)"
Lewis Cliff 97200,14613,Valid,Stony,Ordinary,LL6,61.7,Found,1997-01-01,-84.26667,161.5,"(-84.266670, 161.500000)"
Lewis Cliff 97201,14614,Valid,Stony,Ordinary,H5,148.2,Found,1997-01-01,-84.26667,161.5,"(-84.266670, 161.500000)"
Lewis Cliff 97202,14615,Valid,Stony,Ordinary,L3.4,117.6,Found,1997-01-01,-84.26667,161.5,"(-84.266670, 161.500000)"
Lewis Cliff 97203,14616,Valid,Stony,Ordinary,LL6,267.1,Found,1997-01-01,-84.26667,161.5,"(-84.266670, 161.500000)"
